jerseyid,orderid,jerseyname,jerseynumber,team,jerseytype,jerseyyear,jerseysize,jerseyprice,quantitysold,datesold
9951,3920,Patrick Mahomes,15,Kansas City Chiefs,Alternate,2020,L,149.99,2,2025-02-09
9952,3921,Jalen Hurts,1,Philadelphia Eagles,Alternate,2019,M,119.99,3,2019-09-14
9953,3921,Patrick Mahomes,15,Kansas City Chiefs,Home,2019,XL,129.99,1,2019-09-14
9954,3921,Jordan Love,10,Green Bay Packers,Alternate,2021,S,149.99,1,2019-09-14
9955,3921,Patrick Mahomes,15,Kansas City Chiefs,Alternate,2024,XXL,129.99,2,2019-09-14
9956,3922,Josh Allen,17,Buffalo Bills,Alternate,2020,XXL,129.99,1,2025-03-11
9957,3922,Jordan Love,10,Green Bay Packers,Alternate,2023,M,149.99,3,2025-03-11
9958,3923,CeeDee Lamb,88,Dallas Cowboys,Home,2020,XXL,149.99,3,2022-10-20
9959,3924,CeeDee Lamb,88,Dallas Cowboys,Away,2019,L,149.99,2,2022-07-04
9960,3924,Christian McCaffrey,23,San Francisco 49ers,Alternate,2025,S,119.99,2,2022-07-04
9961,3925,Jalen Hurts,1,Philadelphia Eagles,Away,2021,S,129.99,2,2025-04-30
9962,3926,Patrick Mahomes,15,Kansas City Chiefs,Alternate,2021,M,149.99,2,2021-04-16
9963,3927,Jordan Love,10,Green Bay Packers,Away,2021,XXL,129.99,3,2025-04-02
9964,3928,CeeDee Lamb,88,Dallas Cowboys,Home,2022,XL,139.99,2,2024-03-17
9965,3928,Joe Burrow,9,Cincinnati Bengals,Home,2020,S,149.99,2,2024-03-17
9966,3929,Amon-Ra St. Brown,14,Detroit Lions,Home,2024,XL,139.99,1,2025-02-17
9967,3930,Jalen Hurts,1,Philadelphia Eagles,Home,2023,L,119.99,2,2020-06-30
9968,3930,DK Metcalf,14,Seattle Seahawks,Away,2024,S,139.99,3,2020-06-30
9969,3930,Josh Allen,17,Buffalo Bills,Home,2020,XL,149.99,3,2020-06-30
9970,3930,CeeDee Lamb,88,Dallas Cowboys,Home,2021,L,119.99,2,2020-06-30
9971,3931,CeeDee Lamb,88,Dallas Cowboys,Home,2019,M,119.99,1,2025-04-08
9972,3932,Lamar Jackson,8,Baltimore Ravens,Alternate,2019,XL,129.99,1,2021-10-02
9973,3933,CeeDee Lamb,88,Dallas Cowboys,Alternate,2020,L,129.99,1,2021-09-02
9974,3933,Joe Burrow,9,Cincinnati Bengals,Away,2024,XL,119.99,1,2021-09-02
9975,3933,CeeDee Lamb,88,Dallas Cowboys,Home,2022,XXL,139.99,1,2021-09-02
9976,3933,Josh Allen,17,Buffalo Bills,Home,2024,L,119.99,2,2021-09-02
9977,3934,Christian McCaffrey,23,San Francisco 49ers,Home,2024,L,119.99,3,2024-03-25
9978,3935,Christian McCaffrey,23,San Francisco 49ers,Alternate,2025,M,129.99,3,2019-09-11
9979,3936,Jalen Hurts,1,Philadelphia Eagles,Alternate,2020,M,129.99,2,2020-04-10
9980,3936,Amon-Ra St. Brown,14,Detroit Lions,Away,2024,XL,119.99,1,2020-04-10
9981,3937,DK Metcalf,14,Seattle Seahawks,Home,2024,XXL,119.99,3,2019-01-07
9982,3937,Christian McCaffrey,23,San Francisco 49ers,Alternate,2022,S,119.99,3,2019-01-07
9983,3938,Christian McCaffrey,23,San Francisco 49ers,Alternate,2022,XL,139.99,1,2021-12-05
9984,3939,Amon-Ra St. Brown,14,Detroit Lions,Home,2023,S,129.99,1,2023-10-10
9985,3939,Josh Allen,17,Buffalo Bills,Away,2024,S,119.99,1,2023-10-10
9986,3939,Christian McCaffrey,23,San Francisco 49ers,Alternate,2025,S,149.99,2,2023-10-10
9987,3940,Patrick Mahomes,15,Kansas City Chiefs,Home,2021,S,119.99,3,2022-09-02
9988,3941,Christian McCaffrey,23,San Francisco 49ers,Away,2021,L,139.99,1,2021-03-16
9989,3941,DK Metcalf,14,Seattle Seahawks,Home,2023,S,119.99,3,2021-03-16
9990,3941,Joe Burrow,9,Cincinnati Bengals,Away,2021,M,149.99,3,2021-03-16
9991,3942,CeeDee Lamb,88,Dallas Cowboys,Home,2025,XXL,129.99,2,2021-03-17
9992,3943,Patrick Mahomes,15,Kansas City Chiefs,Home,2023,XXL,119.99,2,2024-06-23
9993,3944,Jalen Hurts,1,Philadelphia Eagles,Away,2023,L,149.99,1,2020-10-04
9994,3944,Josh Allen,17,Buffalo Bills,Away,2019,M,149.99,1,2020-10-04
9995,3944,Jalen Hurts,1,Philadelphia Eagles,Alternate,2020,XXL,139.99,3,2020-10-04
9996,3944,Joe Burrow,9,Cincinnati Bengals,Alternate,2025,M,149.99,2,2020-10-04
9997,3945,Amon-Ra St. Brown,14,Detroit Lions,Away,2025,XXL,119.99,2,2020-11-28
9998,3946,Jordan Love,10,Green Bay Packers,Home,2024,S,149.99,1,2021-12-28
9999,3946,Patrick Mahomes,15,Kansas City Chiefs,Away,2020,S,139.99,2,2021-12-28
10000,3947,DK Metcalf,14,Seattle Seahawks,Away,2023,XXL,129.99,1,2021-10-04
10001,3947,Joe Burrow,9,Cincinnati Bengals,Alternate,2024,S,149.99,1,2021-10-04
10002,3948,Jalen Hurts,1,Philadelphia Eagles,Away,2021,L,119.99,2,2020-12-22
10003,3948,Jordan Love,10,Green Bay Packers,Home,2020,XXL,119.99,1,2020-12-22
10004,3948,Christian McCaffrey,23,San Francisco 49ers,Alternate,2019,L,139.99,3,2020-12-22
10005,3948,Lamar Jackson,8,Baltimore Ravens,Home,2021,XL,139.99,3,2020-12-22
10006,3949,Lamar Jackson,8,Baltimore Ravens,Alternate,2020,S,149.99,3,2025-11-29
10007,3949,Jalen Hurts,1,Philadelphia Eagles,Away,2019,S,139.99,1,2025-11-29
10008,3949,DK Metcalf,14,Seattle Seahawks,Alternate,2022,XXL,139.99,2,2025-11-29
10009,3950,DK Metcalf,14,Seattle Seahawks,Alternate,2025,S,139.99,2,2019-03-26
10010,3951,Lamar Jackson,8,Baltimore Ravens,Away,2022,S,139.99,3,2024-05-23
10011,3951,Jalen Hurts,1,Philadelphia Eagles,Home,2019,XL,139.99,2,2024-05-23
10012,3952,DK Metcalf,14,Seattle Seahawks,Home,2022,S,149.99,2,2022-07-12
10013,3952,Joe Burrow,9,Cincinnati Bengals,Home,2023,M,129.99,3,2022-07-12
10014,3952,DK Metcalf,14,Seattle Seahawks,Away,2020,XXL,129.99,2,2022-07-12
10015,3952,Amon-Ra St. Brown,14,Detroit Lions,Away,2024,XXL,149.99,3,2022-07-12
10016,3953,Patrick Mahomes,15,Kansas City Chiefs,Home,2020,L,119.99,2,2022-02-06
10017,3953,Amon-Ra St. Brown,14,Detroit Lions,Alternate,2024,XXL,139.99,2,2022-02-06
10018,3954,Josh Allen,17,Buffalo Bills,Away,2025,S,139.99,1,2023-03-05
10019,3954,Amon-Ra St. Brown,14,Detroit Lions,Away,2020,S,119.99,2,2023-03-05
10020,3954,Lamar Jackson,8,Baltimore Ravens,Alternate,2020,S,129.99,2,2023-03-05
10021,3955,Jordan Love,10,Green Bay Packers,Home,2020,XXL,129.99,1,2025-08-06
10022,3955,Patrick Mahomes,15,Kansas City Chiefs,Home,2020,S,119.99,1,2025-08-06
10023,3955,Jalen Hurts,1,Philadelphia Eagles,Away,2024,L,139.99,1,2025-08-06
10024,3955,Josh Allen,17,Buffalo Bills,Away,2022,XL,149.99,1,2025-08-06
10025,3956,Amon-Ra St. Brown,14,Detroit Lions,Alternate,2025,XL,119.99,2,2020-08-29
10026,3957,Patrick Mahomes,15,Kansas City Chiefs,Away,2020,S,129.99,3,2024-04-05
10027,3958,Lamar Jackson,8,Baltimore Ravens,Home,2025,L,129.99,2,2023-08-26
10028,3958,Joe Burrow,9,Cincinnati Bengals,Away,2021,M,149.99,2,2023-08-26
10029,3959,Joe Burrow,9,Cincinnati Bengals,Home,2024,XL,119.99,1,2019-08-27
10030,3959,Christian McCaffrey,23,San Francisco 49ers,Home,2023,L,139.99,1,2019-08-27
10031,3959,Lamar Jackson,8,Baltimore Ravens,Alternate,2021,L,129.99,2,2019-08-27
10032,3960,Patrick Mahomes,15,Kansas City Chiefs,Home,2019,L,139.99,3,2023-09-02
10033,3960,Jordan Love,10,Green Bay Packers,Home,2024,XXL,149.99,2,2023-09-02
10034,3960,Patrick Mahomes,15,Kansas City Chiefs,Alternate,2021,XL,129.99,2,2023-09-02
10035,3961,Amon-Ra St. Brown,14,Detroit Lions,Home,2024,M,149.99,2,2022-03-28
10036,3961,Lamar Jackson,8,Baltimore Ravens,Away,2024,S,149.99,3,2022-03-28
10037,3961,CeeDee Lamb,88,Dallas Cowboys,Alternate,2021,M,139.99,3,2022-03-28
10038,3962,CeeDee Lamb,88,Dallas Cowboys,Home,2025,M,149.99,2,2021-05-09
10039,3962,Jalen Hurts,1,Philadelphia Eagles,Home,2020,XXL,129.99,3,2021-05-09
10040,3962,Josh Allen,17,Buffalo Bills,Alternate,2024,S,139.99,1,2021-05-09
10041,3963,Joe Burrow,9,Cincinnati Bengals,Alternate,2023,XL,129.99,3,2020-01-10
10042,3963,Amon-Ra St. Brown,14,Detroit Lions,Away,2022,XXL,119.99,3,2020-01-10
10043,3964,Josh Allen,17,Buffalo Bills,Home,2024,L,119.99,1,2023-06-23
10044,3964,Jordan Love,10,Green Bay Packers,Alternate,2024,M,129.99,1,2023-06-23
10045,3965,Joe Burrow,9,Cincinnati Bengals,Home,2023,XXL,129.99,3,2022-03-25
10046,3965,Joe Burrow,9,Cincinnati Bengals,Alternate,2023,XL,139.99,1,2022-03-25
10047,3966,Amon-Ra St. Brown,14,Detroit Lions,Away,2021,M,119.99,1,2023-12-04
10048,3966,Jalen Hurts,1,Philadelphia Eagles,Alternate,2025,L,139.99,1,2023-12-04
10049,3966,Christian McCaffrey,23,San Francisco 49ers,Away,2019,S,149.99,1,2023-12-04
10050,3967,Lamar Jackson,8,Baltimore Ravens,Away,2019,S,149.99,1,2024-12-26
10051,3967,Amon-Ra St. Brown,14,Detroit Lions,Alternate,2024,L,149.99,1,2024-12-26
10052,3967,Josh Allen,17,Buffalo Bills,Alternate,2024,XL,139.99,2,2024-12-26
10053,3968,Jalen Hurts,1,Philadelphia Eagles,Away,2025,M,139.99,3,2022-01-16
10054,3968,CeeDee Lamb,88,Dallas Cowboys,Home,2021,XL,139.99,3,2022-01-16
10055,3968,Jordan Love,10,Green Bay Packers,Alternate,2020,S,149.99,1,2022-01-16
10056,3969,Christian McCaffrey,23,San Francisco 49ers,Away,2021,M,149.99,1,2019-11-03
10057,3970,DK Metcalf,14,Seattle Seahawks,Away,2021,XXL,119.99,1,2023-06-09
10058,3970,Josh Allen,17,Buffalo Bills,Away,2025,M,119.99,1,2023-06-09
10059,3970,Amon-Ra St. Brown,14,Detroit Lions,Alternate,2023,XL,119.99,2,2023-06-09
10060,3970,Jordan Love,10,Green Bay Packers,Alternate,2019,XXL,129.99,2,2023-06-09
10061,3971,Jalen Hurts,1,Philadelphia Eagles,Away,2021,L,139.99,1,2022-10-09
10062,3972,Joe Burrow,9,Cincinnati Bengals,Alternate,2021,M,119.99,2,2025-09-08
10063,3972,Jordan Love,10,Green Bay Packers,Home,2023,S,139.99,3,2025-09-08
10064,3972,DK Metcalf,14,Seattle Seahawks,Alternate,2021,L,139.99,1,2025-09-08
10065,3972,Christian McCaffrey,23,San Francisco 49ers,Away,2021,L,139.99,1,2025-09-08
10066,3973,Joe Burrow,9,Cincinnati Bengals,Away,2024,XXL,149.99,1,2024-07-06
10067,3973,Jalen Hurts,1,Philadelphia Eagles,Home,2022,XXL,139.99,2,2024-07-06
10068,3974,Jordan Love,10,Green Bay Packers,Alternate,2023,M,139.99,1,2024-04-14
10069,3975,Joe Burrow,9,Cincinnati Bengals,Home,2022,S,119.99,2,2023-10-01
10070,3975,DK Metcalf,14,Seattle Seahawks,Away,2025,M,139.99,3,2023-10-01
10071,3975,Jalen Hurts,1,Philadelphia Eagles,Home,2024,S,129.99,1,2023-10-01
10072,3975,Christian McCaffrey,23,San Francisco 49ers,Away,2019,XXL,119.99,1,2023-10-01
10073,3976,Christian McCaffrey,23,San Francisco 49ers,Home,2020,XL,139.99,3,2022-12-20
10074,3976,Amon-Ra St. Brown,14,Detroit Lions,Alternate,2024,XL,139.99,3,2022-12-20
10075,3976,CeeDee Lamb,88,Dallas Cowboys,Home,2020,L,119.99,1,2022-12-20
10076,3976,Joe Burrow,9,Cincinnati Bengals,Alternate,2020,XL,129.99,2,2022-12-20
10077,3977,DK Metcalf,14,Seattle Seahawks,Away,2020,S,129.99,3,2022-04-28
10078,3977,Jordan Love,10,Green Bay Packers,Alternate,2023,L,139.99,2,2022-04-28
10079,3977,Patrick Mahomes,15,Kansas City Chiefs,Away,2024,XXL,139.99,3,2022-04-28
10080,3977,Jordan Love,10,Green Bay Packers,Home,2020,XXL,149.99,2,2022-04-28
10081,3978,Lamar Jackson,8,Baltimore Ravens,Alternate,2023,XL,129.99,3,2023-09-18
10082,3978,CeeDee Lamb,88,Dallas Cowboys,Alternate,2019,M,149.99,2,2023-09-18
10083,3978,Christian McCaffrey,23,San Francisco 49ers,Alternate,2021,M,119.99,3,2023-09-18
10084,3978,Amon-Ra St. Brown,14,Detroit Lions,Alternate,2020,L,119.99,2,2023-09-18
10085,3979,Amon-Ra St. Brown,14,Detroit Lions,Alternate,2024,S,149.99,2,2025-10-11
10086,3979,DK Metcalf,14,Seattle Seahawks,Away,2024,L,129.99,2,2025-10-11
10087,3980,Amon-Ra St. Brown,14,Detroit Lions,Away,2023,M,119.99,2,2022-09-09
10088,3981,DK Metcalf,14,Seattle Seahawks,Alternate,2024,S,149.99,2,2020-10-13
10089,3981,Patrick Mahomes,15,Kansas City Chiefs,Alternate,2019,XL,119.99,3,2020-10-13
10090,3981,Amon-Ra St. Brown,14,Detroit Lions,Away,2025,M,139.99,2,2020-10-13
10091,3981,Josh Allen,17,Buffalo Bills,Away,2023,M,149.99,3,2020-10-13
10092,3982,Jalen Hurts,1,Philadelphia Eagles,Away,2022,M,149.99,2,2020-06-29
10093,3982,Patrick Mahomes,15,Kansas City Chiefs,Alternate,2025,XXL,129.99,1,2020-06-29
10094,3982,Jalen Hurts,1,Philadelphia Eagles,Home,2021,XXL,129.99,2,2020-06-29
10095,3982,Amon-Ra St. Brown,14,Detroit Lions,Home,2025,M,129.99,1,2020-06-29
10096,3983,Amon-Ra St. Brown,14,Detroit Lions,Alternate,2022,XL,139.99,2,2025-04-12
10097,3984,Josh Allen,17,Buffalo Bills,Home,2023,S,119.99,1,2023-09-29
10098,3984,Amon-Ra St. Brown,14,Detroit Lions,Away,2021,XXL,129.99,1,2023-09-29
10099,3984,CeeDee Lamb,88,Dallas Cowboys,Away,2021,L,119.99,3,2023-09-29
10100,3984,Josh Allen,17,Buffalo Bills,Away,2020,L,119.99,1,2023-09-29
10101,3985,Christian McCaffrey,23,San Francisco 49ers,Home,2024,L,149.99,1,2023-12-19
10102,3985,CeeDee Lamb,88,Dallas Cowboys,Alternate,2022,S,149.99,3,2023-12-19
10103,3985,Patrick Mahomes,15,Kansas City Chiefs,Home,2020,XL,129.99,1,2023-12-19
10104,3985,DK Metcalf,14,Seattle Seahawks,Alternate,2023,L,149.99,3,2023-12-19
10105,3986,Christian McCaffrey,23,San Francisco 49ers,Home,2022,M,129.99,3,2023-04-16
10106,3986,Patrick Mahomes,15,Kansas City Chiefs,Alternate,2020,XL,139.99,1,2023-04-16
10107,3986,DK Metcalf,14,Seattle Seahawks,Home,2025,S,139.99,3,2023-04-16
10108,3987,Lamar Jackson,8,Baltimore Ravens,Away,2024,XL,129.99,1,2023-02-06
10109,3987,Josh Allen,17,Buffalo Bills,Alternate,2020,XXL,129.99,3,2023-02-06
10110,3988,Josh Allen,17,Buffalo Bills,Away,2023,L,119.99,1,2019-08-08
10111,3988,Jordan Love,10,Green Bay Packers,Away,2025,M,129.99,2,2019-08-08
10112,3989,Christian McCaffrey,23,San Francisco 49ers,Away,2024,S,129.99,2,2020-03-31
10113,3989,Amon-Ra St. Brown,14,Detroit Lions,Alternate,2020,XL,119.99,3,2020-03-31
10114,3989,DK Metcalf,14,Seattle Seahawks,Away,2024,XL,119.99,2,2020-03-31
10115,3989,Jalen Hurts,1,Philadelphia Eagles,Away,2020,XXL,149.99,2,2020-03-31
10116,3990,Patrick Mahomes,15,Kansas City Chiefs,Alternate,2025,XL,139.99,1,2020-12-20
10117,3990,Jalen Hurts,1,Philadelphia Eagles,Home,2023,S,129.99,2,2020-12-20
10118,3990,Josh Allen,17,Buffalo Bills,Home,2021,XXL,149.99,1,2020-12-20
10119,3991,Lamar Jackson,8,Baltimore Ravens,Alternate,2021,S,149.99,1,2020-12-02
10120,3992,Jordan Love,10,Green Bay Packers,Alternate,2023,XXL,129.99,1,2025-04-18
10121,3992,CeeDee Lamb,88,Dallas Cowboys,Away,2020,XL,139.99,1,2025-04-18
10122,3993,Josh Allen,17,Buffalo Bills,Alternate,2022,L,119.99,2,2019-06-09
10123,3993,Josh Allen,17,Buffalo Bills,Home,2023,L,139.99,1,2019-06-09
10124,3993,Patrick Mahomes,15,Kansas City Chiefs,Away,2021,S,149.99,3,2019-06-09
10125,3993,Joe Burrow,9,Cincinnati Bengals,Alternate,2025,L,149.99,2,2019-06-09
10126,3994,Lamar Jackson,8,Baltimore Ravens,Away,2020,M,129.99,3,2022-09-14
10127,3994,Josh Allen,17,Buffalo Bills,Home,2020,M,139.99,2,2022-09-14
10128,3995,Patrick Mahomes,15,Kansas City Chiefs,Away,2023,L,129.99,3,2025-02-06
10129,3995,Lamar Jackson,8,Baltimore Ravens,Alternate,2022,S,129.99,3,2025-02-06
10130,3995,Amon-Ra St. Brown,14,Detroit Lions,Alternate,2023,XXL,149.99,2,2025-02-06
10131,3995,Joe Burrow,9,Cincinnati Bengals,Alternate,2022,XL,149.99,2,2025-02-06
10132,3996,DK Metcalf,14,Seattle Seahawks,Home,2023,L,139.99,2,2024-07-20
10133,3996,Josh Allen,17,Buffalo Bills,Home,2025,XL,129.99,2,2024-07-20
10134,3997,Amon-Ra St. Brown,14,Detroit Lions,Home,2019,S,129.99,2,2022-11-26
10135,3998,Lamar Jackson,8,Baltimore Ravens,Alternate,2022,M,119.99,2,2025-05-29
10136,3999,Joe Burrow,9,Cincinnati Bengals,Alternate,2023,XL,149.99,1,2024-04-29
10137,3999,CeeDee Lamb,88,Dallas Cowboys,Home,2025,L,149.99,1,2024-04-29
10138,3999,Jordan Love,10,Green Bay Packers,Home,2024,XXL,129.99,1,2024-04-29
10139,3999,Joe Burrow,9,Cincinnati Bengals,Home,2024,S,149.99,1,2024-04-29
10140,4000,Jordan Love,10,Green Bay Packers,Alternate,2023,S,149.99,1,2022-04-03
10141,4001,Patrick Mahomes,15,Kansas City Chiefs,Alternate,2021,XL,139.99,1,2022-06-11
10142,4001,CeeDee Lamb,88,Dallas Cowboys,Alternate,2019,XL,139.99,2,2022-06-11
10143,4001,Lamar Jackson,8,Baltimore Ravens,Home,2024,XXL,149.99,1,2022-06-11
10144,4001,Jordan Love,10,Green Bay Packers,Away,2023,L,129.99,3,2022-06-11
10145,4002,Patrick Mahomes,15,Kansas City Chiefs,Alternate,2024,XL,129.99,3,2019-11-03
10146,4003,Patrick Mahomes,15,Kansas City Chiefs,Away,2022,S,149.99,2,2021-07-31
10147,4004,CeeDee Lamb,88,Dallas Cowboys,Home,2025,L,149.99,2,2023-05-27
10148,4005,Christian McCaffrey,23,San Francisco 49ers,Home,2025,S,139.99,1,2019-11-29
10149,4005,Josh Allen,17,Buffalo Bills,Home,2025,L,149.99,3,2019-11-29
10150,4006,Christian McCaffrey,23,San Francisco 49ers,Home,2023,L,119.99,2,2025-06-18
10151,4007,CeeDee Lamb,88,Dallas Cowboys,Alternate,2021,L,139.99,2,2019-05-12
10152,4007,Patrick Mahomes,15,Kansas City Chiefs,Alternate,2021,XXL,129.99,1,2019-05-12
10153,4007,Jordan Love,10,Green Bay Packers,Home,2019,XXL,129.99,2,2019-05-12
10154,4008,DK Metcalf,14,Seattle Seahawks,Away,2024,XXL,119.99,2,2024-01-02
10155,4008,Jalen Hurts,1,Philadelphia Eagles,Away,2020,S,129.99,3,2024-01-02
10156,4009,Josh Allen,17,Buffalo Bills,Home,2024,M,129.99,2,2019-03-09
10157,4009,CeeDee Lamb,88,Dallas Cowboys,Away,2023,M,139.99,2,2019-03-09
10158,4009,Jalen Hurts,1,Philadelphia Eagles,Away,2019,XL,129.99,3,2019-03-09
10159,4010,Christian McCaffrey,23,San Francisco 49ers,Alternate,2019,L,149.99,1,2021-10-03
10160,4010,Josh Allen,17,Buffalo Bills,Home,2023,M,149.99,1,2021-10-03
10161,4010,Josh Allen,17,Buffalo Bills,Away,2025,XXL,139.99,3,2021-10-03
10162,4010,Christian McCaffrey,23,San Francisco 49ers,Away,2024,XL,129.99,3,2021-10-03
10163,4011,CeeDee Lamb,88,Dallas Cowboys,Alternate,2021,XL,129.99,3,2021-04-24
10164,4011,Joe Burrow,9,Cincinnati Bengals,Alternate,2021,M,149.99,1,2021-04-24
10165,4011,Joe Burrow,9,Cincinnati Bengals,Alternate,2021,S,139.99,1,2021-04-24
10166,4011,Joe Burrow,9,Cincinnati Bengals,Home,2024,XXL,129.99,3,2021-04-24
10167,4012,Patrick Mahomes,15,Kansas City Chiefs,Home,2023,XXL,149.99,3,2024-02-05
10168,4012,Joe Burrow,9,Cincinnati Bengals,Alternate,2020,XL,139.99,1,2024-02-05
10169,4012,Christian McCaffrey,23,San Francisco 49ers,Home,2024,L,129.99,2,2024-02-05
10170,4012,Patrick Mahomes,15,Kansas City Chiefs,Alternate,2025,M,149.99,1,2024-02-05
10171,4013,Josh Allen,17,Buffalo Bills,Away,2021,L,129.99,3,2024-03-09
10172,4013,Joe Burrow,9,Cincinnati Bengals,Away,2022,L,119.99,2,2024-03-09
10173,4014,Jalen Hurts,1,Philadelphia Eagles,Alternate,2020,L,149.99,1,2024-03-09
10174,4014,Jordan Love,10,Green Bay Packers,Away,2019,L,119.99,2,2024-03-09
10175,4014,Lamar Jackson,8,Baltimore Ravens,Alternate,2024,L,119.99,2,2024-03-09
10176,4015,Patrick Mahomes,15,Kansas City Chiefs,Home,2024,XL,149.99,1,2019-05-04
10177,4016,Jordan Love,10,Green Bay Packers,Away,2022,XXL,139.99,3,2023-10-15
10178,4016,Jalen Hurts,1,Philadelphia Eagles,Away,2019,L,149.99,1,2023-10-15
10179,4016,Jalen Hurts,1,Philadelphia Eagles,Away,2021,XL,119.99,2,2023-10-15
10180,4017,Amon-Ra St. Brown,14,Detroit Lions,Home,2025,S,139.99,1,2024-08-17
10181,4017,Patrick Mahomes,15,Kansas City Chiefs,Alternate,2024,XL,149.99,3,2024-08-17
10182,4017,CeeDee Lamb,88,Dallas Cowboys,Away,2019,XL,139.99,3,2024-08-17
10183,4018,Jalen Hurts,1,Philadelphia Eagles,Alternate,2019,L,119.99,2,2024-07-01
10184,4018,Joe Burrow,9,Cincinnati Bengals,Away,2021,XL,129.99,2,2024-07-01
10185,4018,DK Metcalf,14,Seattle Seahawks,Away,2020,XL,139.99,1,2024-07-01
10186,4018,CeeDee Lamb,88,Dallas Cowboys,Home,2025,S,119.99,1,2024-07-01
10187,4019,Joe Burrow,9,Cincinnati Bengals,Home,2019,M,129.99,3,2024-04-20
10188,4019,Jalen Hurts,1,Philadelphia Eagles,Home,2021,M,149.99,1,2024-04-20
10189,4019,CeeDee Lamb,88,Dallas Cowboys,Alternate,2022,XL,129.99,1,2024-04-20
10190,4019,Jalen Hurts,1,Philadelphia Eagles,Away,2022,M,119.99,2,2024-04-20
10191,4020,Josh Allen,17,Buffalo Bills,Away,2023,S,149.99,3,2020-09-19
10192,4020,Lamar Jackson,8,Baltimore Ravens,Away,2019,M,139.99,3,2020-09-19
10193,4020,Christian McCaffrey,23,San Francisco 49ers,Alternate,2024,S,129.99,3,2020-09-19
10194,4020,DK Metcalf,14,Seattle Seahawks,Home,2022,M,129.99,2,2020-09-19
10195,4021,DK Metcalf,14,Seattle Seahawks,Alternate,2021,M,139.99,1,2023-03-02
10196,4021,Christian McCaffrey,23,San Francisco 49ers,Away,2019,XXL,139.99,2,2023-03-02
10197,4021,Patrick Mahomes,15,Kansas City Chiefs,Away,2024,S,119.99,2,2023-03-02
10198,4021,Lamar Jackson,8,Baltimore Ravens,Home,2025,M,149.99,3,2023-03-02
10199,4022,Christian McCaffrey,23,San Francisco 49ers,Alternate,2020,S,119.99,1,2019-09-23
10200,4022,Jordan Love,10,Green Bay Packers,Alternate,2020,XL,129.99,2,2019-09-23
10201,4022,Lamar Jackson,8,Baltimore Ravens,Home,2019,L,139.99,2,2019-09-23
10202,4023,CeeDee Lamb,88,Dallas Cowboys,Home,2024,XXL,149.99,1,2019-05-08
10203,4023,Christian McCaffrey,23,San Francisco 49ers,Alternate,2024,L,139.99,2,2019-05-08
10204,4024,Jordan Love,10,Green Bay Packers,Home,2025,L,129.99,1,2022-11-06
10205,4025,CeeDee Lamb,88,Dallas Cowboys,Away,2022,XL,119.99,1,2019-10-25
10206,4025,Joe Burrow,9,Cincinnati Bengals,Alternate,2024,XL,119.99,2,2019-10-25
10207,4026,Amon-Ra St. Brown,14,Detroit Lions,Alternate,2020,XL,139.99,3,2024-04-30
10208,4026,Joe Burrow,9,Cincinnati Bengals,Away,2021,L,149.99,1,2024-04-30
10209,4026,Jordan Love,10,Green Bay Packers,Home,2020,M,149.99,3,2024-04-30
10210,4026,CeeDee Lamb,88,Dallas Cowboys,Away,2024,XL,149.99,2,2024-04-30
10211,4027,Jordan Love,10,Green Bay Packers,Home,2019,S,149.99,2,2020-04-15
10212,4027,CeeDee Lamb,88,Dallas Cowboys,Away,2021,L,149.99,1,2020-04-15
10213,4027,Lamar Jackson,8,Baltimore Ravens,Alternate,2020,L,149.99,3,2020-04-15
10214,4027,Jordan Love,10,Green Bay Packers,Alternate,2021,L,119.99,3,2020-04-15
10215,4028,CeeDee Lamb,88,Dallas Cowboys,Alternate,2020,S,119.99,2,2023-09-08
10216,4028,Jalen Hurts,1,Philadelphia Eagles,Alternate,2022,S,119.99,1,2023-09-08
10217,4029,Lamar Jackson,8,Baltimore Ravens,Home,2024,XXL,119.99,3,2025-05-13
10218,4029,Jordan Love,10,Green Bay Packers,Away,2024,XXL,139.99,1,2025-05-13
10219,4030,CeeDee Lamb,88,Dallas Cowboys,Home,2020,XL,149.99,2,2023-05-10
10220,4030,Amon-Ra St. Brown,14,Detroit Lions,Home,2020,XL,149.99,1,2023-05-10
10221,4030,Josh Allen,17,Buffalo Bills,Alternate,2023,L,149.99,1,2023-05-10
10222,4030,Josh Allen,17,Buffalo Bills,Home,2022,L,119.99,3,2023-05-10
10223,4031,Patrick Mahomes,15,Kansas City Chiefs,Home,2025,M,139.99,2,2024-02-20
10224,4031,CeeDee Lamb,88,Dallas Cowboys,Away,2023,M,149.99,3,2024-02-20
10225,4031,Christian McCaffrey,23,San Francisco 49ers,Home,2020,M,149.99,3,2024-02-20
10226,4031,Jordan Love,10,Green Bay Packers,Away,2024,S,149.99,2,2024-02-20
10227,4032,Lamar Jackson,8,Baltimore Ravens,Home,2020,S,139.99,3,2021-06-29
10228,4032,Lamar Jackson,8,Baltimore Ravens,Home,2021,XXL,119.99,3,2021-06-29
10229,4032,CeeDee Lamb,88,Dallas Cowboys,Away,2021,M,129.99,3,2021-06-29
10230,4033,Amon-Ra St. Brown,14,Detroit Lions,Home,2024,L,129.99,1,2025-12-11
10231,4033,Jalen Hurts,1,Philadelphia Eagles,Alternate,2023,S,119.99,3,2025-12-11
10232,4033,Amon-Ra St. Brown,14,Detroit Lions,Alternate,2021,S,119.99,1,2025-12-11
